Inference for Bugs model at "growth-increment.jags", fit using jags,
 5 chains, each with 6000 iterations (first 1000 discarded)
 n.sims = 25000 iterations saved
                     mu.vect sd.vect    2.5%     25%     50%     75%   97.5%  Rhat n.eff
mu.year.indiv[15,5]    0.532   0.070   0.395   0.484   0.531   0.579   0.667 1.001 14000
mu.year.indiv[16,5]    1.379   0.066   1.249   1.334   1.379   1.424   1.509 1.001 23000
mu.year.indiv[17,5]    0.965   0.067   0.835   0.921   0.966   1.011   1.097 1.001 21000
mu.year.indiv[18,5]    1.311   0.066   1.180   1.267   1.311   1.355   1.441 1.001 25000
mu.year.indiv[19,5]    0.858   0.063   0.734   0.816   0.858   0.901   0.982 1.001 25000
mu.year.indiv[20,5]    1.139   0.063   1.016   1.097   1.139   1.181   1.264 1.001 25000
mu.year.indiv[21,5]    0.510   0.083   0.348   0.453   0.510   0.566   0.674 1.001  8000
mu.year.indiv[22,5]    0.924   0.063   0.800   0.882   0.924   0.967   1.050 1.001 15000
mu.year.indiv[23,5]    1.041   0.069   0.906   0.995   1.041   1.088   1.177 1.001 22000
mu.year.indiv[24,5]    1.086   0.069   0.952   1.039   1.086   1.133   1.221 1.001 25000
mu.year.indiv[25,5]    0.528   0.067   0.395   0.483   0.527   0.574   0.659 1.001 25000
mu.year.indiv[26,5]    1.159   0.067   1.028   1.114   1.159   1.205   1.290 1.001 25000
mu.year.indiv[27,5]    0.989   0.067   0.860   0.944   0.989   1.035   1.121 1.001 13000
mu.year.indiv[28,5]    1.101   0.065   0.973   1.058   1.102   1.144   1.228 1.001 17000
mu.year.indiv[29,5]    1.377   0.067   1.247   1.332   1.378   1.422   1.507 1.001 11000
mu.year.indiv[30,5]    0.347   0.068   0.213   0.301   0.348   0.393   0.479 1.001 25000
mu.year.indiv[31,5]    0.971   0.061   0.852   0.930   0.971   1.012   1.091 1.001 25000
mu.year.indiv[32,5]    0.725   0.066   0.595   0.681   0.725   0.770   0.853 1.001 18000
mu.year.indiv[1,6]     1.019   0.070   0.882   0.971   1.018   1.066   1.156 1.001 15000
mu.year.indiv[2,6]     1.027   0.068   0.893   0.981   1.027   1.073   1.162 1.001 20000
mu.year.indiv[3,6]     0.840   0.066   0.711   0.796   0.840   0.884   0.969 1.001 25000
mu.year.indiv[4,6]     1.032   0.070   0.895   0.984   1.032   1.079   1.167 1.001 25000
mu.year.indiv[5,6]     1.186   0.071   1.049   1.138   1.186   1.234   1.324 1.001 25000
mu.year.indiv[6,6]     1.021   0.069   0.885   0.975   1.021   1.067   1.155 1.001 18000
mu.year.indiv[7,6]     0.993   0.065   0.865   0.950   0.993   1.037   1.119 1.001 19000
mu.year.indiv[8,6]     0.776   0.069   0.640   0.730   0.776   0.821   0.911 1.001 18000
mu.year.indiv[9,6]     0.900   0.057   0.787   0.862   0.900   0.939   1.012 1.001 20000
