plot,Tree number,Species,X coord,Y coord,T1_DBH,Tree CX code,Leaf Cx,Leaf Density,Stem,Insects,Meristem,T2_DBH,Tree height,,,
147,992,ABCO,15.3,16.7,27.4,LG,2,1,2,2,2,30.8,16.36,,,
147,993,ABCO,17.7,17,20.2,LF,2,2,1,2,2,23.1,17.85,,,
147,994,ABCO,12.8,24,19.7,LG,2,2,1,2,2,24.1,19.04,,,
147,999,ABCO,2.1,27.7,22,LG,2,2,1,2,2,25.3,16.53,,,
147,983,PIPO,,,,,1,1,2,2,2,40.9,21.89,,,
154,393,PIPO,46.1,36.1,34,LG,2,2,1,2,2,34.3,11.36,,,x
154,396,PIPO,48.2,34.3,51.9,LG,1,1,1,2,0,52.6,7.37,,,x
154,399,PIPO,35.8,42.5,45.3,LG,2,2,1,2,2,47.4,16.15,,,x
154,400,PIPO,29.8,46.7,31.9,LG,2,2,2,2,2,33.3,8.82,,,x
154,1732,PIPO,18.8,42.5,42.3,LE,2,2,2,2,2,44.3,16.55,,,x
154,1733,PIPO,18.2,36.2,47.5,LE,2,1,1,2,2,47.8,11.81,,,x
154,1734,PIPO,13.4,40.4,28.5,LG,2,2,2,2,2,29.7,11.23,,,x
154,1735,PIPO,10.7,42.7,29.5,LG,2,2,1,2,2,54.9,15.8,,,x
154,1736,PIPO,10.3,45.5,38.5,LF,1,1,2,2,2,39.2,13.79,,,x
154,1738,PIPO,6.4,48.4,27.9,LF,2,1,1,2,2,29.1,11.43,,,x
154,1739,PIPO,7.6,47.3,30.6,LP,2,1,1,2,1,30.6,14.56,,,x
154,1740,PIPO,6.5,48.5,28.6,LF,2,2,1,2,2,30.5,14.68,,,x
154,1741,PIPO,5.5,43.9,32.8,LF,2,1,2,2,1,32.6,12.75,,,x
154,1742,PIPO,1,48.5,38.7,LE,2,2,2,2,2,40.2,16.71,,,x
154,1716,PSME,50,4.1,56.9,LE,2,2,1,2,2,57.3,19.8,,,x
154,1744,PIFL,47.2,1.9,49.2,LE,2,2,2,2,2,51,14.46,,,x
154,1745,PIPO,44.9,-2.5,45.2,LG,2,2,2,2,2,46.7,17.36,,,x
154,1746,PIPO,19,4,49.7,LE,2,1,2,2,2,50.2,17.84,,,x
154,1747,PIPO,35.5,11.1,43.5,LF,2,2,2,2,2,44.2,18.82,,,x
154,1748,PIPO,31,8.8,29.9,LG,2,1,1,2,2,31.3,15.64,,,x
154,1749,PIPO,24.6,7,38,LF,2,1,1,2,1,37.7,16.3,,,x
154,1752,PIPO,5.5,3.7,38.2,LF,2,2,1,2,2,40.3,17.31,,,x
154,1753,PIPO,3.2,4.9,33.2,LF,2,1,1,2,1,33.5,12.62,,,x
154,1754,PIPO,1.7,3,28.5,LG,2,2,2,2,2,30.2,14.24,,,x
154,363,PIPO,50,19.2,24.9,LG,2,2,1,2,2,51.7,18.75,,,x
154,364,PIFL,42.2,18.6,18.6,LG,1,2,1,2,1,49.2,15.6,,,x
154,365,PIPO,39.7,17.7,17.7,LE,2,2,1,2,1,42.2,17.11,,,x
154,366,PIPO,38,20.9,19.2,LG,2,1,1,2,1,31.9,8.4,,,x
154,367,PIPO,33.6,19.4,19.4,LG,2,2,2,2,1,40,17.49,,,x
154,368,PIFL,30,17.2,17.2,LE,2,1,2,2,2,57.7,17.72,,,x
154,370,PIFL,32.3,29.7,29.7,LG,1,2,2,2,2,23.8,9.09,,,x
154,372,PIPO,24,16.7,16.7,LG,1,1,1,2,2,48.2,14.93,,,x
154,373,PIPO,11,22.2,22.2,LE,2,2,2,2,1,50.9,16.81,,,x
154,374,PIPO,10.7,24,24,DSL,,,,,,,,,,DSL
154,375,UNK,10.5,25.7,25.7,DFI,,,,,,,,,,DFI
154,376,PIPO,4,23,23,LE,2,2,2,2,2,38.5,17.09,,,x
154,377,PIPO,4.3,18.5,18.5,LG,2,2,2,2,2,41.3,15.03,,,x
154,1714,PIFL,23,22.2,14.2,LG,2,2,1,2,2,15.7,8.72,,,x
154,1715,PIFL,17.6,18,5.2,LG,2,2,1,2,1,13.8,4.72,,,x
154,1720,PIPO,16.9,22,3.9,LF,1,1,0,2,0,10,2.49,,,x
154,1721,PIPO,23.5,19.8,6.8,LG,2,1,1,2,2,8.3,3.55,,,x
154,1722,PIFL,24.3,21.4,5.6,LF,1,1,2,2,2,7.4,4.37,,,x
154,1723,PIPO,22.2,20.2,12,LG,1,2,1,2,2,12.5,7.58,,,x
154,1724,PSME,15.2,23.9,5.4,LG,2,2,1,2,2,9.6,6.74,,,x
154,1725,PIFL,15.7,17.9,5.6,LG,missing,,,,,,,,,x
154,1726,PIPO,15.1,18,7.5,LG,2,2,0,2,2,8.6,4.44,,,x
154,1727,PIFL,15.6,17.8,9.2,LF,2,1,1,2,1,17.7,6.12,,,x
154,1728,PIPO,19.1,24.4,10,LG,2,2,1,2,2,10.8,4.44,,,x
154,1729,PIPO,16.6,21.9,16.8,LE,2,1,1,2,2,18,8.1,,,x
154,1730,PIPO,22.6,23,10.8,LF,2,1,1,2,2,12.4,8.11,,,x
154,1731,PIPO,18.1,24.6,8.5,LF,1,1,1,2,1,8.9,5.01,,,x
154,1756,PIPO,15.1,22.1,8,LG,2,1,1,2,2,10.1,5.69,,,x
141,233,ABCO,49.2,33,30.6,,,,,,,30.9,22.43,,,
141,901,PIPO,26,30.2,32.5,,,,,,,34.6,23.31,,,
141,903,POTR,31.6,27.7,23.5,,,,,,,23.8,17.02,,,
141,923,PIPO,7.9,20.8,59.1,,,,,,,60.8,38.99,,,
