plot,Tree number,Species,X coord,Y coord,T1_DBH,T1_BasalArea,Tree CX code,Leaf Cx,Leaf Density,Stem,Insects,Meristem,T2_DBH,T2_BasalArea,Tree height,DBH_inc,,
127,2025,PIPO,38.2,33.2,27.6,598.2843996,,1,1,1,2,2,31.3,769.4460768,22.3,3.7,,missing
127,2026,PIPO,36.5,32.6,35,962.1119375,,,,,,,,0,,,,missing
127,2027,PIPO,37.1,29.1,39.1,1200.723552,,2,2,2,2,2,41.8,1372.277928,25.49,2.7,,DSF
127,2028,PIPO,33.3,31.7,40.5,1288.248249,,2,2,2,2,2,43.6,1493.009232,26.83,3.1,,x
127,2031,PIPO,28.9,33.1,27.7,602.6276478,,2,2,1,2,2,29.6,688.1338736,22.23,1.9,,x
127,2032,PIPO,23.9,35,26.7,559.9020238,,2,2,1,2,1,27.9,611.361268,18.63,1.2,,x
127,2033,PIPO,23.7,30.8,29.8,697.4643959,,2,1,1,2,2,32.4,824.4788796,24.5,2.6,,x
127,2035,PIPO,24.3,16.9,65.5,3369.551624,,2,2,1,2,2,65.5,3369.551624,31.87,0,,x
127,2036,PIPO,18.9,22.2,35.3,978.6759708,,2,1,1,2,1,35.9,1012.228152,18.97,0.6,,x
127,2037,PIPO,16.2,26.6,40.9,1313.820792,,2,2,1,2,1,43.5,1486.168419,24.18,2.6,,x
127,2038,PIPO,18,29.7,32.7,839.8176928,,2,1,1,2,1,34.3,924.0123048,22.59,1.6,,x
127,2039,PIPO,13.2,33,30.2,716.3139359,,2,1,1,2,1,31.5,779.3106694,19.86,1.3,,x
127,2040,PIPO,15.8,29.1,29,660.5192975,,2,2,1,2,2,30.4,725.8329536,21.9,1.4,,x
127,2044,PIPO,9.9,16,32,804.24704,,1,1,1,2,2,34.9,956.622009,20.36,2.9,,x
127,2045,PIPO,6.6,16.5,34.9,956.622009,,2,1,2,2,2,37.1,1081.028973,23.99,2.2,,x
127,2046,PIPO,7.9,22,35.5,989.7971994,,2,1.5,2,2,2,38.4,1158.115738,24.77,2.9,,x
127,2047,PIPO,7.5,25.5,36.8,1063.61671,,2,2,2,2,2,38.9,1188.471351,22.68,2.1,,x
127,2052,PIPO,1.5,23.2,25.5,510.7047244,,2,2,1,2,2,26.8,564.1039004,20.22,1.3,,x
127,2054,PIPO,3.1,15,43.1,1458.96225,,2,2,2,2,2,47.2,1749.739966,22.23,4.1,,x
127,2056,PIPO,33.1,20.1,16,201.06176,,,,,,,,0,,,,x
127,2057,PIPO,33.7,20.5,30.4,725.8329536,,1,2,1,2,2,32.9,850.122108,26.6,2.5,,x
127,2058,PIPO,26.7,22.6,35.8,1006.596852,,2,2,1,2,2,38,1134.11399,23.05,2.2,,x
127,2059,PIPO,30.8,22.1,13.6,145.2671216,,2,1,1,2,1,13.8,149.5710999,12.1,0.2,,x
127,2061,PIPO,28.6,21.1,24,452.38896,,2,1,1,2,0,24.8,483.0508784,14.88,0.8,,x
127,2064,PIPO,32.2,23,20.3,323.6544558,,2,1,1,2,1,20.8,339.7943744,18.6,0.5,,x
127,2067,PIPO,34.1,23.1,10.7,89.92015978,,2,0,1,2,0,10.7,89.92015978,9.23,0,,x
127,2068,PIPO,6.7,48.5,35,962.1119375,2,2,2,2,2,2,37.8,1122.207364,23.49,2.8,,x
